"job_application_id","has_embedding","km_cluster","hc_cluster","hdb_cluster"
"8e4a67c6-0fd9-4f4d-8201-5131dd428d26",TRUE,1,7,2
"ff56bb04-90e1-424f-a1da-f5d927bf02c9",TRUE,6,6,2
"7ec4e440-c652-4334-b394-4097d114e227",TRUE,5,2,2
"8dda4059-0017-448b-96fc-d91d901b761f",TRUE,2,1,2
"cbfdf902-005c-46fc-9119-7ab306469cc9",TRUE,1,2,2
"5278b06e-48b8-48e6-ad82-da81e22c2fee",TRUE,1,2,2
"0fbc8d3d-84b6-49ec-bf5f-bf3a580d0237",TRUE,8,6,2
"9c132b70-453c-4d2e-ab30-311f15245530",TRUE,3,3,2
"98ee4e0a-69cd-47f5-8292-8e2aa9cba86a",TRUE,3,1,2
"8d699f98-8b22-42dc-84e3-fc81e5aa1a3f",TRUE,3,2,2
"0cc79015-cb8c-4830-a99f-300e4ffd0a43",TRUE,5,5,2
"7977c0ca-0775-4676-8163-a047b2c3a15c",TRUE,3,1,2
"e15c7dc7-4d72-43aa-aa56-0c9af4aed977",TRUE,8,8,2
"6d3a9a8f-a16a-4988-a2e3-fa88b899d865",TRUE,4,2,2
"99d338f6-a580-4517-9485-c478319abb2d",TRUE,8,8,2
"c62dbc5b-a217-4a45-a62e-6d9b46443eb2",TRUE,4,2,2
"02043f08-a343-4139-82be-5e3e1e05d5b8",TRUE,4,7,2
"b25ba20c-ae56-40c6-9bf3-78448fb4e4d6",TRUE,4,2,2
"e221df30-a854-41ce-aa70-e13d4bb5cc27",TRUE,4,7,2
"01e9e187-b917-4161-af7f-83f8dc958fb2",TRUE,7,6,2
"4af27670-cc56-4b6d-af49-df7ceaded326",TRUE,6,9,2
"959d8b33-c291-42b8-98c6-e019f6b6577d",TRUE,5,4,2
"1a9b00d8-4278-41da-b28c-26f5555152bc",TRUE,5,9,2
"68694e23-5810-4a26-9663-9e8830816c8a",TRUE,1,2,2
"7f33b909-969f-4e29-a534-109f4cad9a2a",TRUE,1,7,2
"304b3f38-87d4-4421-9149-c2c465c1995c",TRUE,3,3,2
